name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	isotopes	adduct	pcgroup
M84T296	M84.0449T296	84.0448985547573	84.0448826244084	84.0449144851061	295.881849	294.94392	296.819778	2	2	[7][M]-	[M+Cl]- 49.0752 [M-H]- 85.052	62
M84T405	M84.0449T405	84.044904835637	84.0449037513176	84.0449059199563	404.547099	403.349076	405.745122	2	2		[M+Cl]- 49.0753 [M-H]- 85.052	21
M84T132	M84.0584T132	84.0583627303021	84.05835899702	84.0583664635841	132.061779	132.054162	132.069396	2	2			20
M84T513	M84.0813T513	84.0812827950201	84.0812823184968	84.0812832715434	512.708139	512.272998	513.14328	2	2		[M-H-HCOOH]- 131.094	38
M84T283	M84.1264T283	84.1264254442232	84.1264232528706	84.1264276355757	282.639687	282.559992	282.719382	2	2			428
M85T384	M85.0285T384	85.0284549044579	85.0280396863233	85.0288701225925	384.147138	379.281186	389.01309	2	2			1386
M85T478	M85.0289T478	85.0288697729527	85.0288697729527	85.0288697729527	477.685362	477.685362	477.685362	1	1			813
M85T295	M85.0482T295	85.0482278789571	85.0482278789571	85.0482278789571	295.478736	295.478736	295.478736	1	1	[7][M+1]-		62
M85T133	M85.0665T133	85.0665208206094	85.0665208206094	85.0665208206094	132.604236	132.604236	132.604236	1	1			984
M85T283	M85.1326T283	85.1325772664376	85.1325694440374	85.1326124598331	283.351482	282.559992	304.393614	4	3	[8][M]-		423
M85T339	M85.1326T339	85.1326325039689	85.1326325039689	85.1326325039689	339.227586	339.227586	339.227586	1	1		[2M-2H+K]- 24.0918 [M-H-COCH2]- 128.15	2018
M85T362	M85.1327T362	85.1326599341696	85.1326599341696	85.1326599341696	362.051508	362.051508	362.051508	1	1			1763
M86T422	M86.0604T422	86.0604429712877	86.0604429712877	86.0604429712877	422.408634	422.408634	422.408634	1	1		[M+Cl]- 51.0911	18
M86T208	M86.0718T208	86.0717510689871	86.0717510689871	86.0717510689871	208.011456	208.011456	208.011456	1	1			708
